code	product_name	energy_100g	proteins_100g	fat_100g	carbohydrates_100g	sugars_100g	energy-kcal_100g	saturated-fat_100g	salt_100g	sodium_100g	fiber_100g	fruits-vegetables-nuts-estimate-from-ingredients_100g	nutrition-score-fr_100g
0003004575451	Bee honey							0					
0003006010349	Finest Milk Chocolate	2259	8	34	50	48	540	24	0.1524	0.06096	2	0	
0003006012749	Storz chocolade, edelvollmilch- chocolade finest milk chocolate	2259	8	34	50	48	540	24	0.15	0.06	2	0	24
0003006013180	Storz chocolade, edelvollmilch-chocolade finest milk chocolate	2259	8	34	50	48	540	24	0.15	0.06	2	0	24
0003006013371	Storz, solid milk chocolate	2301	7.5	37.5	50	47.5	550	25	0.155	0.062	2.5	0	24
00030069	Le Paris	490	22			0.6	117	1	1.4	0.56	0		
00030083	Lemonade	63	0.5	0.5	3.5	3.5	15	0.1	0.03	0.012			6
000301	Marine collagène advanced												
00030100784579													
00030113	Jus pressé ananas, gingembre, pomme, citron	180	0.4	0.1	9.8	9.1	43	0.1	0.1	0.04	0.5		3
00030120	Edamame & houmous protein pot												
00030175	Riesling												
00030182	blackcurrant conserve	2163	6.0999999046326	30.200000762939	52.799999237061	2.2000000476837	517	3.5	1.3	0.52	2.3	0	12
00030201133783381647	Oeufs												
0003024006157	Fettina per involtini												
0003026400168	Grainaissance, mochi, cashew-date	1021	4.44	4.44	53.33	6.67	244	0	0.195	0.078	4.4	0	-2
00030298	Riz a la semoule de ble dur	837	7	0	41	2	200	0	0	0			
00030304	Philly cheesesteak bao buns	879	10	5	32	4	210	2.5			3		
00030366	Pates a tartiner chocolat praliner												
00030403	Dragon fruit												
00030414	Proteina  ultra whey												
00030419701721002076	Merluza	310	17.6	0	0	0	74	0	0	0			
00030422501319002297	Tronquito de merluza	728	17	2	1	1	174	1	3	1.2			
00030429001720002167	Tronquito de merluza del cabo	310	17.6	0.5	0	0	74	0.2	0.3	0.12			
00030489	Moutarde au miel	1514	4.09	3.5	12.5	9.88	361.8	3.5	4.08	1.632			19
00030502500422000003	Rodaja de pulpo cocido congelado	305	16.8	0.7	0.1	0.1	73	0.1	1.4	0.56	0.1		
00030557	Jus de Pomme												
0003059202845	Chicken katsu avocado  roll double	771	5.69395017793594	10.1423487544484	26.298932927359		184.341637010676	1.31672599561698			5.69395017793594		
00030724													
00030779	Pétillant de pomme	197	0	0	12	11	47	0	0	0			
00030830													
00030861	Potato salad vegan												
00030878	Pomme mangue	276	0.5	0.5	14	13	66	0.2					
00030908	All Butter Summer Trifle Cookies	1986	5.9	21.5	62.5	30.5		10.1	1.02	0.408	3.2		22
00030977	Fromage blanc aux myrtilles	272	5.6	2.3	5.3	5.3	64.9	1.4	0.1	0.04	0.8	28.6	-1
00030991	Pineapple, cucumber, celery, jalapeno + Kale												
0003100000000	Amandes chocolat	2381	9	29.2	58.4	50.5	569	10	0.049	0.0196			
00031004	Gel all'acido silicico												
00031011	Loading…												
00031059	Ultimate English Muffins	983	7.9	1.4	46.4	4.2	235	0.1	1.28	0.512	3.2		0
000310746	4LIFE TRANSFER FACTOR	33	8	8	8	8	8	8	8	3.2			
00031080	2 Lemon Curd Iced Buns	1397	4.8	6.9	62.3	39.5	334	3.8	0.4	0.16	1.5		15
000311006300001504261221	Lasagne												
0003110100066	Peanut butter chocolate chip	192464	800	2500	5300	3200	46000	1100			100		
00031103	Cheesecake	1418	5	23.2	27.5	20.4	339	13.3	0.6	0.24	0.3	0	20
0003111903													
00031141	Moelleux au chocolat	1966	6.2	28.6	45.9	32.3	470	18.3	3.2	1.28	2.1	0	30
00031158													
